Métier;Secteur;Nombre d'enregistrements;RIASEC Maj;RIASEC min;
Auxiliaire de vie sociale;Services à la personne, Entretien;6;;;
Auxiliaire vétérinaire;Animaux;2;;;
Avocat;Droit, Justice;41;C;S;
Banquier du commerce international;Banque, Assurance, Finance;4;;;
Barman / Barmaid;Hôtellerie - Restauration;4;;;
Bibliothécaire;Edition, Bibliothèque, Livre;2;;;
Bijoutier - Joallier;Artisanat d'art;6;;;
Bio-informaticien;Informatique, Digital, Télécom;2;;;
Blogueur;Journalisme;1;;;
Boucher;Artisanat, Commerce de détail;4;;;
Boulanger;Artisanat, Commerce de détail;8;;;
Bûcheron-Elagueur;Environnement, Eau, Nature, Propreté;1;;;
Business analyst;Commerce, Vente, Distribution;4;;;
Business Manager;Commerce, Vente, Distribution;1;;;
Cacheur d'Oeufs;Transport, Logistique;1;;;
Cadet de la République;Défense, Sécurité;3;;;
Cadre de santé;Paramédical;3;;;
Cadreur;Audiovisuel, Cinéma;1;;;
Canalisateur;Bâtiment, Travaux publics, Architecture;1;;;
Carreleur;Bâtiment, Travaux publics, Architecture;2;;;
Carrossier;Automobile;2;;;
Cartographe;Sciences, Maths, Physique, Recherche;1;;;
Cascadeur;Audiovisuel, Cinéma;2;;;
Cavalier;Sport, Animation;3;;;
Caviste;Artisanat, Commerce de détail;3;;;
Céramiste;Artisanat d'art;3;;;
Cessionnaire des droits de traduction;Edition, Bibliothèque, Livre;2;;;
Chanteur;Spectacle, Métiers de la scène;1;A;S;
Charcutier-Traiteur;Artisanat, Commerce de détail;1;;;
Chargé d'affaires BTP;Bâtiment, Travaux publics, Architecture;10;R;C;
Chargé d'études économiques;Direction générale, Stratégie, Conseil, Organisation;2;;;
Chargé d'études marketing;Marketing, E-commerce, Publicité;14;I;C;
Chargé d'études publiques;Fonction publique;3;;;
Chargé d'études ressources humaines;Ressources Humaines;16;I;E;
Chargé d'orientation et d'insertion professionnelle;Enseignement, Formation;35;S;E;
Chargé de clientèle;Banque, Assurance, Finance;12;E;C;EC dans la banque et CE dans l’assurance
Chargé de clientèle entreprises;Banque, Assurance, Finance;5;;;
Chargé de communication;Communication, Médias;70;C;E;
Chargé de communication digitale;Communication, Médias;1;;;
Chargé de communication et marketing RH - Marque employeur;Banque, Assurance, Finance;1;;;
Chargé de Compte;Commerce, Vente, Distribution;5;;;
Chargé de développement en Ressources Humaines;Ressources Humaines;5;;;
Chargé de développement local;Social, Vie associative;17;E;S;
Chargé de formation - RH;Ressources Humaines;14;S;E;
Chargé de fournisseurs;Commerce, Vente, Distribution;2;;;
Chargé de marketing direct;Marketing, E-commerce, Publicité;3;;;
Chargé de mission;Fonction publique;6;;;
Chargé de mission développement économique;Fonction publique;14;E;S;
Chargé de mission Egalité des chances;Social, Vie associative;2;;;
Chargé de mission emploi;Ressources Humaines;8;;;
Chargé de mission handicap;Ressources Humaines;3;;;
Chargé de mission microfinance;Banque, Assurance, Finance;6;;;
Chargé de mission patrimoine culturel;Culture, Patrimoine;2;;;
Chargé de mission patrimoine naturel;Environnement, Eau, Nature, Propreté;1;;;
Chargé de mission Qualité;Direction générale, Stratégie, Conseil, Organisation;2;;;
Chargé de Partenariats;Communication, Médias;12;E;C;
Chargé de production;Audiovisuel, Cinéma;3;;;
Chargé de projets Jeunesse;Social, Vie associative;7;;;
Chargé de projets Marketing;Marketing, E-commerce, Publicité;9;E;C;
Chargé de promotion;Marketing, E-commerce, Publicité;1;;;
Chargé de recouvrement;Audit, Comptabilité, Gestion;8;;;
Chargé de Relations Ecoles;Ressources Humaines;8;;;
Chargé de relations presse;Communication, Médias;3;;;
Chargé de relations publiques;Communication, Médias;5;;;
Chargé des Relations Entreprises;Enseignement, Formation;20;E;C;
Chargé du protocole;Fonction publique;1;;;
Chargé du recrutement;Ressources Humaines;94;E;C;
Charpentier;Bâtiment, Travaux publics, Architecture;2;;;
Charpentier métallique;Bâtiment, Travaux publics, Architecture;1;;;
Chasseur de têtes;Ressources Humaines;11;E;C;
Chaudronnier;Industrie, Maintenance, Energie;4;;;
Chauffagiste - Installateur thermique;Bâtiment, Travaux publics, Architecture;3;;;
Chauffeur de taxi;Transport, Logistique;1;;;
Chauffeur VTC;Transport, Logistique;2;;;
Chef avion / Agent de trafic;Aérien, Aéronautique et Aéroportuaire;1;;;
Chef d'agence de transport;Transport, Logistique;3;;;
Chef d'atelier des industries graphiques;Edition, Bibliothèque, Livre;1;;;
Chef d'équipe - Bâtiment;Bâtiment, Travaux publics, Architecture;2;;;
Chef d'orchestre;Spectacle, Métiers de la scène;1;A;S;
Chef de chantier;Bâtiment, Travaux publics, Architecture;7;;;
Chef de cuisine;Hôtellerie - Restauration;3;;;
Chef de fabrication;Edition, Bibliothèque, Livre;1;;;
Chef de mission;Humanitaire;1;;;
Chef de produit;Marketing, E-commerce, Publicité;18;E;C;
Chef de produit touristique;Tourisme, Loisirs;8;;;
Chef de projet Apprentissage;Enseignement, Formation;2;;;
Chef de projet déploiement fibre optique;Informatique, Digital, Télécom;1;;;
Chef de projet en Gestion Prévisionnelle des Emplois et Compétences;Ressources Humaines;1;;;
Chef de Projet Expérience Client;Commerce, Vente, Distribution;3;;;
